에이전트ID,고객분류,고객분류명,구역ID,구역명,상품명,가격,체류시간,일차,시간대
2,minor_female,미성년 여성,beverage,음료,사이다,1500,4.8,1,15시
2,minor_female,미성년 여성,bakery,베이커리,치즈케이크,6000,1.6,1,15시
3,adult_female,성년 여성,frozen,냉동식품,냉동새우,12000,9.5,1,14시
4,adult_male,성년 남성,premium,프리미엄,수입와인,32000,10.2,1,11시
4,adult_male,성년 남성,daily,생활용품,비누,2000,4.3,1,11시
4,adult_male,성년 남성,beverage,음료,주스,2500,5.2,1,11시
4,adult_male,성년 남성,snack,과자/스낵,빠다코코낫,1500,6.7,1,11시
5,adult_female,성년 여성,daily,생활용품,세제,5000,8.0,1,14시
7,adult_male,성년 남성,beverage,음료,녹차,1200,7.0,1,16시
8,minor_female,미성년 여성,daily,생활용품,휴지,4500,4.3,1,15시
9,adult_male,성년 남성,frozen,냉동식품,냉동라면,3500,5.1,1,18시
13,minor_male,미성년 남성,daily,생활용품,칫솔,3000,2.0,1,16시
14,adult_female,성년 여성,beverage,음료,우유,1800,4.8,1,21시
15,adult_female,성년 여성,frozen,냉동식품,만두,5000,7.7,1,17시
15,adult_female,성년 여성,beverage,음료,탄산수,1200,8.9,1,17시
16,adult_female,성년 여성,bakery,베이커리,에클레어,4000,7.5,1,20시
16,adult_female,성년 여성,frozen,냉동식품,냉동피자,8000,8.8,1,20시
16,adult_female,성년 여성,cosmetic,화장품,선크림,20000,7.6,1,20시
17,minor_female,미성년 여성,beverage,음료,이온음료,1800,3.5,1,17시
19,minor_female,미성년 여성,snack,과자/스낵,사탕,800,3.3,1,13시
20,adult_male,성년 남성,daily,생활용품,세제,5000,9.0,1,20시
21,adult_male,성년 남성,premium,프리미엄,럼,28000,6.3,1,18시
21,adult_male,성년 남성,beverage,음료,커피,2000,8.4,1,18시
22,adult_male,성년 남성,daily,생활용품,휴지,4500,5.5,1,17시
22,adult_male,성년 남성,premium,프리미엄,수입과자,8000,10.3,1,17시
23,adult_female,성년 여성,frozen,냉동식품,냉동피자,8000,4.8,1,13시
23,adult_female,성년 여성,cosmetic,화장품,컨실러,16000,6.1,1,13시
24,adult_female,성년 여성,bakery,베이커리,치즈케이크,6000,6.8,1,11시
25,adult_male,성년 남성,daily,생활용품,치약,3500,10.3,1,15시
25,adult_male,성년 남성,beverage,음료,주스,2500,7.6,1,15시
26,adult_female,성년 여성,frozen,냉동식품,핫도그,2500,9.5,1,13시
27,adult_male,성년 남성,daily,생활용품,샴푸,8000,9.6,1,10시
27,adult_male,성년 남성,frozen,냉동식품,냉동치킨,9000,7.9,1,10시
28,adult_female,성년 여성,frozen,냉동식품,만두,5000,7.6,1,16시
28,adult_female,성년 여성,beverage,음료,커피,2000,5.4,1,16시
28,adult_female,성년 여성,snack,과자/스낵,초코파이,2500,8.4,1,16시
29,minor_female,미성년 여성,bakery,베이커리,케이크,15000,4.3,1,17시
32,adult_female,성년 여성,frozen,냉동식품,냉동볶음밥,4500,9.7,1,16시
35,minor_male,미성년 남성,snack,과자/스낵,허니버터칩,2000,2.2,1,12시
36,minor_male,미성년 남성,beverage,음료,탄산수,1200,3.0,1,11시
37,adult_female,성년 여성,premium,프리미엄,럼,28000,6.3,1,15시
37,adult_female,성년 여성,snack,과자/스낵,사탕,800,7.0,1,15시
38,adult_female,성년 여성,daily,생활용품,휴지,4500,7.9,1,15시
39,adult_male,성년 남성,beverage,음료,주스,2500,5.6,1,17시
39,adult_male,성년 남성,premium,프리미엄,수입과자,8000,6.6,1,17시
40,adult_female,성년 여성,bakery,베이커리,에클레어,4000,5.6,1,19시
40,adult_female,성년 여성,snack,과자/스낵,허니버터칩,2000,4.7,1,19시
41,adult_female,성년 여성,beverage,음료,에너지드링크,2200,9.9,1,12시
41,adult_female,성년 여성,daily,생활용품,바디로션,8000,9.2,1,12시
41,adult_female,성년 여성,snack,과자/스낵,빠다코코낫,1500,9.6,1,12시
42,minor_female,미성년 여성,beverage,음료,콜라,1500,4.9,1,14시
42,minor_female,미성년 여성,snack,과자/스낵,오레오,2200,2.8,1,14시
43,adult_male,성년 남성,frozen,냉동식품,어묵,3000,6.0,1,20시
43,adult_male,성년 남성,beverage,음료,녹차,1200,5.1,1,20시
44,adult_female,성년 여성,beverage,음료,우유,1800,8.6,1,12시
45,minor_female,미성년 여성,bakery,베이커리,베이글,2500,4.0,1,21시
47,adult_female,성년 여성,frozen,냉동식품,냉동볶음밥,4500,3.9,1,17시
48,adult_female,성년 여성,premium,프리미엄,수입와인,32000,8.1,1,11시
48,adult_female,성년 여성,daily,생활용품,바디로션,8000,8.8,1,11시
48,adult_female,성년 여성,beverage,음료,이온음료,1800,9.2,1,11시
52,adult_female,성년 여성,beverage,음료,주스,2500,6.6,1,18시
53,minor_male,미성년 남성,beverage,음료,콜라,1500,5.2,1,17시
53,minor_male,미성년 남성,snack,과자/스낵,프링글스,2800,4.5,1,17시
56,adult_male,성년 남성,premium,프리미엄,와인,25000,5.9,1,18시
56,adult_male,성년 남성,frozen,냉동식품,만두,5000,9.1,1,18시
57,minor_female,미성년 여성,beverage,음료,두유,1500,2.1,1,13시
58,adult_female,성년 여성,daily,생활용품,칫솔,3000,9.0,1,13시
60,adult_female,성년 여성,premium,프리미엄,수입초콜릿,15000,10.1,1,15시
60,adult_female,성년 여성,frozen,냉동식품,냉동볶음밥,4500,8.3,1,15시
60,adult_female,성년 여성,daily,생활용품,샴푸,8000,7.2,1,15시
61,minor_female,미성년 여성,beverage,음료,에너지드링크,2200,5.1,1,13시
61,minor_female,미성년 여성,bakery,베이커리,머핀,2500,2.4,1,13시
62,minor_female,미성년 여성,snack,과자/스낵,꼬깔콘,1200,4.6,1,19시
62,minor_female,미성년 여성,beverage,음료,사이다,1500,2.5,1,19시
64,adult_female,성년 여성,frozen,냉동식품,핫도그,2500,6.5,1,16시
64,adult_female,성년 여성,daily,생활용품,수건,5000,7.9,1,16시
67,adult_male,성년 남성,daily,생활용품,핸드크림,6000,8.2,1,15시
67,adult_male,성년 남성,beverage,음료,콜라,1500,8.2,1,15시
67,adult_male,성년 남성,frozen,냉동식품,냉동볶음밥,4500,5.6,1,15시
68,adult_male,성년 남성,daily,생활용품,샴푸,8000,6.2,1,21시
68,adult_male,성년 남성,beverage,음료,이온음료,1800,8.5,1,21시
69,adult_female,성년 여성,cosmetic,화장품,립스틱,15000,6.8,1,18시
70,minor_female,미성년 여성,beverage,음료,주스,2500,4.6,1,13시
71,adult_female,성년 여성,beverage,음료,사이다,1500,7.1,1,15시
72,minor_female,미성년 여성,beverage,음료,탄산수,1200,4.0,1,10시
74,minor_male,미성년 남성,snack,과자/스낵,새우깡,1500,3.3,1,17시
75,adult_female,성년 여성,beverage,음료,탄산수,1200,6.0,1,14시
76,adult_male,성년 남성,beverage,음료,커피,2000,9.1,1,20시
78,minor_male,미성년 남성,snack,과자/스낵,사탕,800,1.7,1,17시
79,adult_male,성년 남성,daily,생활용품,휴지,4500,9.7,1,20시
80,adult_female,성년 여성,daily,생활용품,비누,2000,5.0,1,17시
80,adult_female,성년 여성,frozen,냉동식품,어묵,3000,7.4,1,17시
81,adult_female,성년 여성,beverage,음료,에너지드링크,2200,6.4,1,16시
81,adult_female,성년 여성,daily,생활용품,비누,2000,4.2,1,16시
82,adult_male,성년 남성,frozen,냉동식품,냉동피자,8000,6.3,1,18시
82,adult_male,성년 남성,daily,생활용품,핸드크림,6000,7.8,1,18시
83,adult_female,성년 여성,premium,프리미엄,샴페인,35000,7.9,1,11시
84,adult_male,성년 남성,bakery,베이커리,마카롱,5000,6.7,1,18시
84,adult_male,성년 남성,snack,과자/스낵,꼬깔콘,1200,5.3,1,18시
