일차,구역ID,구역명,고객분류,에이전트ID,상품명,가격,체류시간,시간대
1,ice2,아이스크림2,minor_male,1,아이스세트,2800,12.0,16시
1,ice5,아이스크림5,adult_male,2,카나페,1200,6.1,18시
1,ice4,아이스크림4,adult_male,2,대용량아이스,1500,16.8,18시
1,ice3,아이스크림3,adult_male,3,구구콘,1200,7.0,13시
1,ice5,아이스크림5,adult_male,3,탱크보이,800,4.5,13시
1,snack1,과자1,adult_male,3,포테이토칩,1500,7.9,13시
1,snack1,과자1,minor_male,4,포테이토칩,1500,8.4,12시
1,snack2,과자2,minor_male,4,바나나킥,500,15.5,12시
1,ice2,아이스크림2,minor_male,4,아이스세트,2800,13.8,12시
1,beverage,음료,adult_female,5,커피,1500,4.0,13시
1,ice5,아이스크림5,adult_female,5,설레임,1200,10.7,13시
1,ice1,아이스크림1,adult_female,5,수박바,700,8.5,13시
1,ice2,아이스크림2,adult_female,5,아이스세트,2800,8.8,13시
1,ice1,아이스크림1,adult_female,6,아이스바,800,9.1,20시
1,ice6,아이스크림6,minor_male,7,월드콘,1200,5.0,14시
1,snack1,과자1,minor_male,7,초코과자,1800,3.8,14시
1,ice3,아이스크림3,minor_male,7,메로나,600,5.9,14시
1,ice4,아이스크림4,minor_male,7,대용량아이스,1500,19.4,14시
1,ice5,아이스크림5,minor_female,8,탱크보이,800,9.8,20시
1,ice4,아이스크림4,minor_female,8,아이스케이크,2500,12.8,20시
1,ice1,아이스크림1,minor_female,8,죠스바,700,3.8,20시
1,ice3,아이스크림3,minor_female,8,메로나,600,4.2,20시
1,ice2,아이스크림2,adult_male,9,메로나4입,2400,10.4,11시
1,ice3,아이스크림3,adult_female,10,비비빅,1400,10.9,12시
1,beverage,음료,adult_female,10,커피,1500,3.4,12시
1,ice6,아이스크림6,adult_female,10,아이스샌드,1800,8.7,12시
1,ice2,아이스크림2,adult_male,11,아이스세트,2800,13.5,12시
1,ice5,아이스크림5,adult_male,11,카나페,1200,11.1,12시
1,ice4,아이스크림4,minor_female,12,아이스케이크,2500,15.0,13시
1,ice2,아이스크림2,minor_female,12,메로나4입,2400,5.6,13시
1,ice3,아이스크림3,minor_female,12,비비빅,1400,11.4,13시
1,ice5,아이스크림5,minor_female,13,카나페,1200,8.2,11시
1,ice4,아이스크림4,minor_female,13,프리미엄하드,1800,14.3,11시
1,ice3,아이스크림3,minor_female,13,구구콘,1200,9.4,11시
1,snack1,과자1,minor_female,13,초코과자,1800,5.8,11시
1,ice5,아이스크림5,adult_female,14,설레임,1200,6.1,19시
1,beverage,음료,adult_female,14,파워에이드,1500,5.6,19시
1,ice2,아이스크림2,adult_female,14,메로나4입,2400,12.0,19시
1,beverage,음료,adult_male,15,카페라떼,2000,8.0,18시
1,ice5,아이스크림5,adult_female,16,스크류바,600,11.8,12시
1,beverage,음료,adult_female,16,커피,1500,6.9,12시
1,ice2,아이스크림2,adult_female,16,하겐다즈,3500,6.1,12시
1,ice3,아이스크림3,adult_female,17,비비빅,1400,5.7,18시
1,beverage,음료,adult_female,17,포카리스웨트,1800,5.5,18시
1,ice4,아이스크림4,adult_female,17,프리미엄하드,1800,19.1,18시
1,snack1,과자1,minor_female,18,새우과자,1500,9.0,18시
1,ice5,아이스크림5,minor_female,19,탱크보이,800,9.1,12시
1,ice4,아이스크림4,minor_female,19,아이스케이크,2500,19.3,12시
1,snack1,과자1,minor_female,19,초코과자,1800,4.2,12시
1,ice2,아이스크림2,minor_female,19,투게더,2500,5.4,12시
1,snack1,과자1,minor_male,20,크래커,1200,6.8,13시
1,ice4,아이스크림4,minor_male,20,아이스케이크,2500,12.4,13시
1,ice2,아이스크림2,minor_male,20,나뚜루파인트,3000,11.2,13시
1,ice5,아이스크림5,minor_male,21,설레임,1200,9.0,13시
1,ice6,아이스크림6,minor_male,21,하드보스,1200,14.2,13시
1,ice1,아이스크림1,minor_male,21,스크류바,600,8.8,13시
1,ice5,아이스크림5,adult_female,22,수박바,600,8.9,15시
1,ice2,아이스크림2,adult_female,22,하겐다즈,3500,8.4,15시
1,ice1,아이스크림1,adult_female,22,스크류바,600,7.7,15시
1,ice1,아이스크림1,adult_male,23,수박바,700,7.6,10시
1,ice6,아이스크림6,adult_male,23,하드보스,1200,16.7,10시
1,beverage,음료,adult_female,24,포카리스웨트,1800,9.3,15시
1,ice5,아이스크림5,adult_female,24,탱크보이,800,7.1,15시
1,ice3,아이스크림3,adult_female,24,부라보콘,1200,10.1,15시
1,ice1,아이스크림1,adult_female,24,죠스바,700,4.9,15시
1,snack1,과자1,adult_female,24,콘스낵,1200,4.6,15시
1,ice5,아이스크림5,adult_male,25,수박바,600,4.9,12시
1,snack1,과자1,adult_male,25,콘스낵,1200,9.6,12시
1,ice3,아이스크림3,adult_female,26,빵빠레,1400,7.1,10시
1,ice4,아이스크림4,adult_female,26,프리미엄하드,1800,16.7,10시
1,snack2,과자2,minor_female,27,꼬깔콘,800,7.8,15시
1,ice3,아이스크림3,adult_female,28,비비빅,1400,11.6,18시
1,ice4,아이스크림4,adult_female,28,대용량아이스,1500,15.5,18시
1,ice6,아이스크림6,adult_female,28,빵빠레,1200,15.0,18시
1,beverage,음료,adult_female,29,포카리스웨트,1800,5.2,12시
1,ice4,아이스크림4,adult_female,29,투게더대,2000,12.8,12시
1,ice5,아이스크림5,adult_female,30,탱크보이,800,6.3,18시
1,beverage,음료,adult_female,30,포카리스웨트,1800,3.1,18시
1,ice2,아이스크림2,adult_female,30,아이스세트,2800,6.1,18시
1,ice5,아이스크림5,minor_male,31,스크류바,600,11.4,14시
1,ice1,아이스크림1,minor_male,31,아이스바,800,4.7,14시
1,snack1,과자1,minor_male,32,포테이토칩,1500,7.9,13시
1,ice5,아이스크림5,minor_male,32,설레임,1200,7.6,13시
1,ice1,아이스크림1,minor_male,32,스크류바,600,8.0,13시
1,ice3,아이스크림3,minor_male,32,빵빠레,1400,9.5,13시
1,beverage,음료,adult_female,33,카페라떼,2000,6.0,10시
1,ice3,아이스크림3,adult_female,33,구구콘,1200,6.8,10시
