에이전트ID,고객분류,고객분류명,카메라,방문 구역,구매여부,구매 물품,성별,성인/비성인,시간대,1_체류(초),2_체류(초),3_체류(초),4_체류(초)
V0001,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0002,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0003,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0004,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0005,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0006,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0007,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0008,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0009,여성_미확인,여성 미확인,ch3,"3, 4",X,-,여성,미확인,-,0.0,0.0,24.3,31.7
V0010,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0011,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0012,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0013,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0014,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0015,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0016,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0017,여성_미확인,여성 미확인,ch3,4,X,-,여성,미확인,-,0.0,0.0,0.0,59.5
V0018,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0019,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0020,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0021,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0022,여성_미확인,여성 미확인,ch3,1,X,-,여성,미확인,-,4.5,0.0,0.0,0.0
V0023,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0024,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0025,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0026,여성_미확인,여성 미확인,ch3,4,X,-,여성,미확인,-,0.0,0.0,0.0,3.5
V0027,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0028,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0029,남성_미확인,남성 미확인,ch3,-,X,-,남성,미확인,-,0.0,0.0,0.0,0.0
V0030,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0031,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0032,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0033,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0034,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0035,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0036,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0037,여성_미확인,여성 미확인,ch3,4,X,-,여성,미확인,-,0.0,0.0,0.0,3.2
V0038,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0039,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0040,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0041,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0042,여성_미확인,여성 미확인,ch3,3,X,-,여성,미확인,-,0.0,0.0,4.5,0.0
V0043,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0044,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0045,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
V0046,미확인_미확인,미확인 미확인,ch3,-,X,-,미확인,미확인,-,0.0,0.0,0.0,0.0
V0047,여성_미확인,여성 미확인,ch3,-,X,-,여성,미확인,-,0.0,0.0,0.0,0.0
